SchoolDistrict,TotalPop,White,NonWhite,WhiteOrNonLatino%,NonWhiteOrLatino%
San Juan Unified ,344735.0,223615.0,121120.0,0.6486576645829405,0.3513423354170595
San Leandro Unified ,71017.0,14691.0,56326.0,0.20686596167114915,0.7931340383288509
San Lorenzo Unified ,82722.0,14550.0,68172.0,0.1758903314716762,0.8241096685283238
San Luis Coastal Unified ,94635.0,65652.0,28983.0,0.6937391028689174,0.30626089713108257
San Marcos Unified ,130905.0,69106.0,61799.0,0.5279095527290784,0.47209044727092164
San Ramon Valley Unified ,158981.0,83128.0,75853.0,0.5228800925896805,0.47711990741031945
Santa Ana Unified ,265992.0,26843.0,239149.0,0.100916568919366,0.899083431080634
Santa Clara Unified ,173146.0,47634.0,125512.0,0.27510886766081805,0.724891132339182
Santa Monica-Malibu Unified ,103174.0,68910.0,34264.0,0.6679008277279159,0.3320991722720841
Simi Valley Unified ,128972.0,76187.0,52785.0,0.5907251186304004,0.4092748813695996
South San Francisco Unified ,84539.0,15571.0,68968.0,0.18418717988147482,0.8158128201185252
Stockton Unified ,211030.0,33951.0,177079.0,0.1608823390039331,0.8391176609960669
Torrance Unified ,143154.0,48804.0,94350.0,0.3409195691353368,0.6590804308646633
Tustin Unified ,138628.0,51174.0,87454.0,0.3691462042300257,0.6308537957699744
Vacaville Unified ,82581.0,40304.0,42277.0,0.4880541528923118,0.5119458471076882
Vallejo City Unified ,126400.0,29351.0,97049.0,0.23220727848101266,0.7677927215189874
Ventura Unified ,119457.0,65220.0,54237.0,0.5459705165875587,0.4540294834124413
Visalia Unified ,161036.0,55403.0,105633.0,0.3440410839812216,0.6559589160187784
Vista Unified ,161949.0,67958.0,93991.0,0.4196259316204484,0.5803740683795516
Woodland Joint Unified ,68616.0,31440.0,37176.0,0.45820216859041624,0.5417978314095838
Yuba City Unified ,76200.0,30891.0,45309.0,0.40539370078740156,0.5946062992125984
Irvine Unified ,259482.0,104447.0,155035.0,0.4025211768060983,0.5974788231939017
Val Verde Unified ,90550.0,8914.0,81636.0,0.0984428492545555,0.9015571507454445
United States,328239523.0,196789401.0,131450122.0,0.5995298774547634,0.40047012254523656
California,39512223.0,14356081.0,25156142.0,0.3633326578461556,0.6366673421538444
