DName,Enroll12,NumTSTTakr12,NumERWBenchmark12,NumMathBenchmark12,TotNumBothBenchmark12,PctTstTakers,PctERWBenchmark12,PctMathBenchmark12,PctBothBenchmark12,SchoolDistrict,TotalPop,White,NonWhite,WhiteOrNonLatino%,NonWhiteOrLatino%,PctDiv,DiversityCat
Morgan Hill Unified,1189,518,444.0,360.0,344.0,0.43566021867115223,0.8571428571428571,0.694980694980695,0.6640926640926641,Morgan Hill Unified,66003.0,30454.0,35549.0,0.4614032695483538,0.5385967304516461,0.5385967304516461,1
Morongo Unified,1051,204,168.0,94.0,94.0,0.19410085632730734,0.8235294117647058,0.46078431372549017,0.46078431372549017,Morongo Unified,70425.0,40856.0,29569.0,0.5801348952786652,0.4198651047213348,0.41986510472133476,0
Murrieta Valley Unified,4198,1662,1349.0,920.0,874.0,0.3959028108623154,0.8116726835138387,0.5535499398315282,0.5258724428399518,Murrieta Valley Unified,121697.0,63290.0,58407.0,0.5200621214984757,0.4799378785015242,0.47993787850152425,0
Napa Valley Unified,2850,979,705.0,482.0,454.0,0.34350877192982454,0.7201225740551583,0.4923391215526047,0.4637385086823289,Napa Valley Unified,118147.0,58138.0,60009.0,0.4920818979745571,0.5079181020254429,0.5079181020254429,1
Natomas Unified,2183,1051,736.0,444.0,420.0,0.4814475492441594,0.7002854424357755,0.4224548049476689,0.39961941008563273,Natomas Unified,83980.0,22948.0,61032.0,0.27325553703262684,0.7267444629673732,0.7267444629673732,2
New Haven Unified,1928,673,539.0,422.0,402.0,0.34906639004149376,0.8008915304606241,0.6270430906389302,0.5973254086181278,New Haven Unified,80074.0,12743.0,67331.0,0.1591402952269151,0.8408597047730849,0.8408597047730849,3
Newport-Mesa Unified,3484,820,636.0,481.0,463.0,0.23536165327210104,0.775609756097561,0.5865853658536585,0.5646341463414634,Newport-Mesa Unified,196976.0,121016.0,75960.0,0.6143692632604988,0.3856307367395013,0.3856307367395012,0
Norwalk-La Mirada Unified,2799,2446,1048.0,532.0,484.0,0.8738835298320828,0.428454619787408,0.21749795584627965,0.19787408013082583,Norwalk-La Mirada Unified,125100.0,20251.0,104849.0,0.1618784972022382,0.8381215027977618,0.8381215027977618,3
Novato Unified,1259,512,458.0,307.0,307.0,0.40667196187450355,0.89453125,0.599609375,0.599609375,Novato Unified,62435.0,43959.0,18476.0,0.7040762392888604,0.2959237607111396,0.29592376071113957,0
Oakland Unified,6494,2400,1364.0,880.0,810.0,0.3695719125346474,0.5683333333333334,0.36666666666666664,0.3375,Oakland Unified,432155.0,126483.0,305672.0,0.29267970982633545,0.7073202901736645,0.7073202901736646,2
